,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,3SsnPorch,ScreenPorch,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
10,4,3,0.3571672180411653,0.06846887700895615,1,0,1,3,3,4,0,19,3,3,0,2,5,5,-0.20759446917100974,-0.9625656906074178,3,1,3,2,2,1,3,3,1,3,1.014077250501592,-0.03974290518292602,2,4,1,4,-0.3173114853179513,-0.7951632272572445,-0.12024172373467248,-0.9051272461567784,1,0,1,0,3,1,2,5,7,0,0,1,1,-0.41631716425870213,3,3,2,-0.7521758378613592,-0.11633928614822256,-0.2702083542015609,0,0,-0.08768781151769862,2,2008,8,4,-0.6326201413244107
11,9,3,0.7900372830716864,0.1410296273300782,1,0,2,3,3,4,0,16,3,3,0,5,9,5,1.1172352761668802,1.0240286494753397,3,1,4,4,2,2,5,3,1,6,1.215857360727227,0.2680861753198746,2,4,1,4,0.0501307306516506,1.8218284804908391,-0.12024172373467248,1.5391884553650854,1,0,3,0,4,1,4,11,7,2,4,3,3,1.2306081696686189,3,3,2,0.4210472580041388,-0.11633928614822256,-0.2702083542015609,0,0,-0.08768781151769862,7,2006,6,5,1.8212406513233976
12,4,3,-1.6628930854346002,0.24566142751688957,1,0,3,3,3,4,0,19,3,3,0,2,5,6,-0.3069567000713515,-1.1079262520768878,3,1,3,2,2,1,3,3,1,5,0.6434159610653717,-0.3316104778078036,2,2,1,4,-0.6485270039384374,-0.7951632272572445,-0.12024172373467248,-1.1487973472430701,1,0,1,0,2,1,2,4,7,0,0,1,1,-0.5660376491611858,3,3,2,0.36517949153435314,-0.11633928614822256,2.887404029064304,0,0,-0.08768781151769862,9,2008,8,4,-0.3668339671374333
13,4,3,0.963185309083895,0.013547204113963223,1,0,2,3,3,4,0,5,3,3,0,2,7,5,1.1503560198003273,1.072482169965163,1,1,4,3,2,2,4,3,3,1,-0.9730181828073765,0.9954748914709368,2,4,1,4,0.8574685572890857,-0.7951632272572445,-0.12024172373467248,-0.04085985636633749,0,0,2,0,3,1,3,7,7,1,4,2,3,1.7171997456016908,3,3,2,0.5248016814480263,-0.11633928614822256,-0.2702083542015609,0,0,-0.08768781151769862,8,2007,6,5,1.2939824715559582
14,4,3,-1.6628930854346002,0.040406708376478015,1,0,2,3,3,0,0,12,3,3,0,2,6,5,-0.373198187338246,-1.2048332930565346,3,1,1,2,2,1,3,3,1,4,0.634642912794692,0.4459429773881594,2,2,1,4,0.23385183863645154,-0.7951632272572445,-0.12024172373467248,-0.4996449685678711,1,0,1,1,2,1,2,5,7,1,2,2,1,-0.5660376491611858,3,3,2,-0.7521758378613592,-0.11633928614822256,-0.2702083542015609,2,0,-0.08768781151769862,5,2008,8,4,-0.15038205382897207
15,7,4,-0.19113486433082819,-0.44065903960886155,1,0,1,3,3,0,0,3,3,3,0,1,7,8,-1.3999412399751108,0.781761047026223,1,1,3,2,2,0,3,3,1,1,-0.9730181828073765,-0.5140277106983522,2,4,1,0,-0.7986090358133452,-0.7951632272572445,-0.12024172373467248,-1.259210361797796,0,0,1,0,2,1,2,5,7,0,0,1,2,0.4820057451562002,3,3,2,-0.36908258206854355,-0.11633928614822256,-0.2702083542015609,4,0,-0.08768781151769862,7,2007,8,4,-0.5847355408650805
16,4,3,-1.6628930854346002,0.0725779802729976,1,0,2,3,3,1,0,12,3,3,0,2,6,7,-0.04199075100377351,-0.720298088158301,1,1,1,2,2,1,3,3,1,5,0.2946872923058507,-0.12183065998367285,2,4,1,4,-0.410465849929963,-0.7951632272572445,-0.12024172373467248,-0.973659462087298,1,0,1,0,2,1,2,5,7,1,3,3,2,0.03284429044874903,3,3,2,-0.7521758378613592,-0.11633928614822256,-0.2702083542015609,0,2,1.3237359981507422,3,2010,8,4,-0.28135507849914476
17,14,3,0.4148832267119015,0.027478066399372017,1,0,1,3,3,4,0,19,3,3,2,2,4,5,-0.14135298190411524,-0.8656586496277711,1,1,3,2,2,3,0,0,0,0,-0.9730181828073765,-2.411166932760057,2,2,1,4,0.34511955192302113,-0.7951632272572445,-0.12024172373467248,-0.417787043984195,0,0,2,0,2,2,2,6,7,0,0,1,2,0.20127983596404322,3,3,2,-0.7521758378613592,-0.11633928614822256,-0.2702083542015609,0,2,0.9204720525311878,10,2006,8,4,-1.543858558790042
18,4,3,0.24173520069969298,0.31852284393050245,1,0,1,3,3,4,0,20,9,3,0,2,5,5,1.084114532533433,0.927121608495693,1,1,3,2,2,2,3,3,1,6,0.4438291129074069,0.12899303524083136,2,4,1,4,-0.1258275136154827,-0.7951632272572445,-0.12024172373467248,-0.7642554689662661,1,0,1,1,3,1,3,6,7,0,0,1,2,0.4820057451562002,3,3,2,-0.7521758378613592,-0.11633928614822256,-0.2702083542015609,0,0,-0.08768781151769862,6,2008,8,4,-0.11868177859266557
19,4,3,0.3571672180411653,-0.2963393152132597,1,0,1,3,3,4,0,12,3,3,0,2,5,6,-0.4394396746051405,-0.9625656906074178,3,1,3,2,2,1,3,3,1,2,0.1323858992982749,-0.06482527470537644,2,2,1,4,0.45638726520959066,-0.7951632272572445,-0.12024172373467248,-0.3359291194005189,0,0,1,0,3,1,2,6,6,0,0,1,1,-0.8374060280469375,3,3,2,-0.7521758378613592,-0.11633928614822256,-0.2702083542015609,3,0,-0.08768781151769862,5,2009,0,0,-0.45533392920433335
20,9,3,1.2517653524375758,0.37063829996224756,1,0,2,3,3,0,0,16,3,3,0,5,8,5,1.1172352761668802,1.0240286494753397,1,1,1,3,2,2,5,3,3,1,-0.9730181828073765,0.22932251333063305,2,4,1,4,-0.011972179089690562,1.9959890494828307,-0.12024172373467248,1.6381794339313913,0,0,3,1,4,1,3,9,7,1,4,2,3,1.7780236925933248,3,3,2,1.1632904411027192,-0.11633928614822256,-0.2702083542015609,0,0,-0.08768781151769862,11,2006,6,5,1.6739970548069514
21,7,4,-0.01798683831861973,-0.30746396063542064,1,1,1,0,3,4,0,9,3,3,0,1,7,7,-1.3668204963416635,-1.689368497954768,1,1,3,2,2,2,3,3,1,1,-0.9730181828073765,-0.9586697158690641,2,4,1,1,-0.14135324105081798,-0.7951632272572445,-0.12024172373467248,-0.775677504954686,0,0,1,0,3,1,3,6,7,1,4,1,1,-0.9029087401917743,3,3,0,-0.7521758378613592,-0.11633928614822256,-0.2702083542015609,4,0,-0.08768781151769862,6,2007,8,4,-0.44813769349329713
22,4,3,0.5014572397180057,-0.07765484394159074,1,0,1,3,3,4,0,5,3,3,0,2,8,5,1.0178730452665383,0.8302145675160463,3,1,1,3,2,2,4,3,1,1,-0.9730181828073765,1.6407758528212522,2,4,1,4,1.6363425502950728,-0.7951632272572445,-0.12024172373467248,0.5321456157193953,0,0,2,0,3,1,3,7,7,1,4,2,2,0.2854976087216903,3,3,2,0.6125938859005466,-0.11633928614822256,-0.2702083542015609,0,0,-0.08768781151769862,9,2008,8,4,0.8058391233261086
23,0,4,-0.39314089467840474,-0.6306800100630707,1,0,1,3,3,4,0,10,3,3,4,2,5,7,0.15673371079690998,-0.4295769652193609,1,1,3,2,2,2,4,3,1,6,0.8693219540353758,-0.03974290518292602,2,2,1,4,-0.2655590605335003,-0.7951632272572445,-0.12024172373467248,-0.8670537928620453,1,0,1,0,3,1,2,6,7,1,3,1,2,0.46329068454338973,3,3,2,0.04593511170700675,-0.11633928614822256,-0.2702083542015609,0,0,-0.08768781151769862,6,2007,8,4,-0.6248968096694356
24,4,3,-1.6628930854346002,-0.22758700206368823,1,0,2,3,3,4,0,19,3,3,0,2,5,8,-0.108232238270668,0.781761047026223,1,1,3,2,3,1,3,3,2,3,-0.5606849140854272,0.005861403039711112,2,4,1,4,-0.2655590605335003,-0.7951632272572445,-0.12024172373467248,-0.8670537928620453,1,0,1,0,3,1,3,6,7,1,3,1,1,-0.9496963917238004,3,3,2,2.488154617386207,-0.11633928614822256,-0.2702083542015609,3,0,-0.08768781151769862,5,2010,8,4,-0.19869779628888304
25,4,3,1.5114873914558884,0.3721416304247018,1,0,1,3,3,0,0,16,3,3,0,2,8,5,1.1834767634337746,1.072482169965163,1,1,4,3,2,2,4,3,1,1,-0.9730181828073765,1.1596504010724304,2,4,1,4,1.1317564086466758,-0.7951632272572445,-0.12024172373467248,0.16092944609574783,0,0,2,0,3,1,3,7,7,1,4,2,3,1.9511380032618217,3,3,2,-0.7521758378613592,-0.11633928614822256,-0.2702083542015609,0,0,-0.08768781151769862,7,2009,8,4,1.076976726242157
26,4,3,0.0685871746874845,-0.33241924631216013,1,0,1,3,3,0,0,12,3,3,0,2,5,7,-0.6712848800392712,0.7333075265363995,1,1,3,2,2,1,3,3,2,4,-0.4597948589726098,-0.3589730627413859,2,2,1,4,-0.679578458809108,-0.7951632272572445,-0.12024172373467248,-1.17164141921991,0,1,1,0,3,1,3,5,7,0,0,1,2,0.4820057451562002,3,3,2,1.0196304701804133,-0.11633928614822256,-0.2702083542015609,0,0,-0.08768781151769862,5,2010,8,4,-0.5321698384471797
27,4,3,1.1651913394314715,0.09633060157977374,1,0,1,3,3,4,0,16,3,3,0,2,8,5,1.1834767634337746,1.1209356904549863,1,1,4,3,2,2,5,3,1,6,1.6983750156146145,1.4743201278086266,2,4,1,4,1.4008690175258207,-0.7951632272572445,-0.12024172373467248,0.35891140322835985,1,0,2,0,3,1,3,7,7,1,4,2,3,1.399043715183913,3,3,2,-0.7521758378613592,-0.11633928614822256,-0.2702083542015609,0,0,-0.08768781151769862,5,2010,8,4,1.5208279415910222
28,4,3,-0.3065668816723005,0.5817058968908153,1,0,2,3,3,1,0,12,3,3,0,2,5,6,-0.47256041823858774,0.5879469650669296,1,1,3,2,2,1,3,3,4,4,1.8277774776071412,0.9726727373596182,2,2,1,4,1.1317564086466758,-0.7951632272572445,-0.12024172373467248,0.16092944609574783,1,0,1,0,2,1,2,6,7,2,4,2,1,-0.7204368992168722,3,3,2,1.546383696895535,-0.11633928614822256,-0.2702083542015609,0,0,-0.08768781151769862,12,2006,8,4,0.5480277279858623
29,5,4,0.0685871746874845,-0.42021374531948463,1,0,2,3,3,4,0,3,2,4,0,2,4,6,-1.4661827272420052,-1.689368497954768,1,1,3,2,2,0,3,3,1,1,-0.9730181828073765,-1.2254549189714914,2,1,0,4,-1.6628745297136764,-0.7951632272572445,-0.12024172373467248,-1.8950370318198386,0,0,1,0,1,1,1,4,7,0,0,1,1,-1.0900593463198789,2,3,2,-0.3611014725728599,-0.11633928614822256,-0.2702083542015609,0,0,-0.08768781151769862,5,2008,8,4,-2.227468975251752
30,10,0,-0.21999286866619627,-0.20213060623279736,1,2,1,3,3,4,0,9,2,3,0,5,4,4,-1.6980279326761358,-1.689368497954768,2,1,3,2,1,0,3,3,1,1,-0.9730181828073765,-0.9313071309354819,2,2,0,4,-1.3290713898539677,0.7356165107249971,-0.12024172373467248,-0.37780991802472524,0,0,1,0,3,1,2,6,7,0,0,1,1,-1.0432716947878526,3,2,0,-0.7521758378613592,-0.11633928614822256,-0.2702083542015609,3,0,-0.08768781151769862,7,2008,8,4,-3.5746616147846244
31,4,3,-1.6628930854346002,-0.19772083687626507,1,0,2,3,3,1,0,19,3,3,0,2,5,6,-0.1744737255375625,1.0240286494753397,1,1,3,2,2,1,3,3,1,1,-0.9730181828073765,0.388937592109863,2,3,1,4,0.16916130765588783,-0.7951632272572445,-0.12024172373467248,-0.5472367851862875,0,0,1,1,3,1,3,6,7,0,0,1,1,-0.9450176265705977,3,3,2,-0.7521758378613592,-0.11633928614822256,-0.2702083542015609,3,0,-0.08768781151769862,6,2008,8,4,-0.2754794203221517
32,4,3,0.7900372830716864,0.05333535035358402,1,0,1,3,3,0,0,5,3,3,0,2,8,5,1.1834767634337746,1.072482169965163,1,1,3,3,2,2,5,3,3,1,-0.9730181828073765,0.4026188845766541,2,4,1,4,0.1846870350912231,-0.7951632272572445,-0.12024172373467248,-0.5358147491978675,0,0,2,0,3,1,3,7,7,0,0,2,2,0.05155935106155949,3,3,2,-0.7521758378613592,-0.11633928614822256,-0.2702083542015609,0,0,-0.08768781151769862,1,2008,8,4,0.19059016068929616
33,4,3,0.3571672180411653,0.0035250010309353158,1,0,2,3,3,4,0,12,3,3,0,2,5,5,-0.40631893097169325,-1.253286813546358,3,1,3,2,2,1,3,3,1,3,1.2597226020806258,0.7765742120022786,2,3,1,4,1.3905185325689307,-0.7951632272572445,-0.12024172373467248,0.35129671256941325,0,1,1,1,4,1,3,6,7,1,4,2,2,-0.12155495960693731,3,3,2,-0.7521758378613592,-0.11633928614822256,-0.2702083542015609,0,0,-0.08768781151769862,4,2010,8,4,-0.01834247764773446
34,0,3,0.0685871746874845,-0.32109415682833864,1,0,1,3,3,4,0,16,3,3,4,2,9,5,1.1172352761668802,0.9755751289855163,3,1,1,4,2,2,5,3,1,6,1.5558129812160681,1.1482493240167713,2,4,1,4,1.0308391803169965,-0.7951632272572445,-0.12024172373467248,0.08668621217101834,1,0,2,0,2,1,4,6,7,1,4,3,2,0.3884304420921479,3,3,2,0.8679893897624237,-0.11633928614822256,-0.2702083542015609,0,0,-0.08768781151769862,8,2007,8,4,1.2759982771805656
35,9,3,1.4537713827851522,0.2907613413905151,1,0,1,3,3,4,0,16,3,3,0,5,8,5,1.084114532533433,0.9755751289855163,1,1,4,3,2,2,5,3,3,1,-0.9730181828073765,0.13583368147422692,2,4,1,4,-0.07925033130947681,2.229730865761556,-0.12024172373467248,1.782858556451377,0,0,3,1,4,1,3,9,7,1,4,3,3,1.020063737774501,3,3,2,0.14968953515089434,-0.11633928614822256,-0.2702083542015609,0,0,-0.08768781151769862,9,2006,8,4,1.545260216400447
36,4,3,1.5692034001266246,0.034293164495830995,1,0,1,3,3,0,0,5,3,3,0,2,5,5,0.7529070961989605,0.4910399240872828,1,1,3,2,2,2,4,3,1,1,-0.9730181828073765,0.0902293732515898,2,4,1,4,-0.169817074682266,-0.7951632272572445,-0.12024172373467248,-0.7966179042667891,0,0,1,1,3,1,2,6,7,0,0,1,2,0.9311671998636514,3,3,2,2.3764190844466357,-0.11633928614822256,-0.2702083542015609,0,0,-0.08768781151769862,6,2009,8,4,-0.34950318306187145
37,4,3,0.4725992353826376,-0.19892350124622843,1,0,1,3,3,4,0,12,3,3,0,2,5,6,-0.5719226491389294,0.24877232163816604,3,1,1,2,2,1,3,3,1,3,1.6874087052762647,0.5462724554779611,2,3,1,4,0.34770717316224364,-0.7951632272572445,-0.12024172373467248,-0.41588337131945835,0,1,1,0,3,1,2,5,7,1,3,3,2,0.11706206320639612,3,3,2,-0.7521758378613592,-0.11633928614822256,-0.2702083542015609,0,0,-0.08768781151769862,10,2009,8,4,-0.21501243577586676
38,4,3,0.29945120937042913,-0.26005894005269864,1,0,1,3,3,4,0,12,3,3,0,2,5,7,-0.6050433927723767,1.072482169965163,1,1,3,2,3,1,3,3,1,6,0.6302563886593521,-0.0009792431936844568,2,2,1,4,-0.2733219242511679,-0.7951632272572445,-0.12024172373467248,-0.8727648108562553,1,0,1,0,3,1,3,5,7,0,0,1,1,-1.0619867554006632,3,3,2,-0.7521758378613592,-0.11633928614822256,-0.2702083542015609,0,0,-0.08768781151769862,1,2010,8,0,-1.0641916549239092
39,14,3,0.2128771963643249,-0.4486768020752839,1,0,1,3,3,4,0,7,3,3,2,2,4,5,-0.5388019055054822,-1.4471008955056512,1,1,3,2,2,2,0,0,0,0,-0.9730181828073765,-2.411166932760057,2,2,0,2,-0.02749790652502585,-0.7951632272572445,-0.12024172373467248,-0.6919159077062732,0,0,2,0,2,2,1,6,7,0,0,0,0,-2.2129629830885067,0,0,0,-0.7521758378613592,-0.11633928614822256,-0.2702083542015609,0,0,-0.08768781151769862,6,2008,8,1,-1.7769838165074723
40,4,3,0.7611792787363184,-0.18629552536161326,1,0,1,3,3,4,0,12,3,3,0,2,6,5,-0.20759446917100974,-0.9625656906074178,1,1,1,2,2,1,3,3,1,3,0.43724932670439703,0.06970743455140309,2,4,1,4,0.41757294662125244,-0.7951632272572445,-0.12024172373467248,-0.36448420937156867,0,0,2,0,3,1,2,6,7,1,3,2,2,-0.15430631567935563,3,3,2,-0.7521758378613592,-0.11633928614822256,-0.2702083542015609,2,0,-0.08768781151769862,12,2006,8,0,-0.10298086005084653
41,4,3,1.6557774131327287,0.6402355628956983,1,0,1,3,3,4,0,23,3,3,0,2,5,6,-0.40631893097169325,-1.253286813546358,1,1,3,2,3,1,3,3,4,4,1.1478662366294587,0.6671238722679494,2,3,1,4,0.42792343157814267,-0.7951632272572445,-0.12024172373467248,-0.35686951871262207,0,1,1,1,2,1,2,5,7,2,4,2,1,-0.7719033159021009,3,3,1,-0.7521758378613592,-0.11633928614822256,-0.2702083542015609,0,0,-0.08768781151769862,7,2007,8,4,0.048840671310724476
42,13,3,-1.6628930854346002,-0.13397962526820759,1,0,2,3,3,1,0,20,3,3,0,6,5,7,0.38857891623104074,-0.09040232179059743,1,1,3,2,2,1,4,3,3,5,0.6653485817420711,-0.4957859874092973,2,3,1,4,-0.7209803986366687,-0.7951632272572445,-0.12024172373467248,-1.2021001818556964,1,0,1,0,2,1,3,5,7,0,0,2,2,0.14513465412561183,3,4,2,1.1632904411027192,-0.11633928614822256,-0.2702083542015609,3,0,-0.08768781151769862,12,2007,8,4,-0.3668339671374333
43,4,3,-1.6628930854346002,-0.131975184651602,1,0,2,3,3,1,0,5,3,3,0,2,5,6,0.12361296716346273,-0.2357628832600675,3,1,3,2,2,1,4,3,3,2,-0.3589048038597924,-0.2723248771183754,2,2,1,4,-0.5812488517186511,-0.7951632272572445,-0.12024172373467248,-1.0993018579599172,1,0,1,0,3,1,2,5,7,0,0,1,1,-0.7719033159021009,3,3,2,0.40508503901277143,-0.11633928614822256,-0.2702083542015609,3,0,-0.08768781151769862,7,2008,8,4,-0.6181583784927625
44,4,3,0.3571672180411653,-0.25775383334360225,1,0,1,3,3,4,0,12,3,3,0,2,5,6,-0.40631893097169325,-1.253286813546358,1,1,3,2,2,1,3,3,1,5,-0.5804242726944566,0.2110807900415782,2,4,1,0,-0.032673149003470944,-0.7951632272572445,-0.12024172373467248,-0.6957232530357464,1,0,1,0,3,1,2,6,7,0,0,2,1,-0.8093334371277219,3,3,2,-0.7521758378613592,-0.11633928614822256,-0.2702083542015609,0,0,-0.08768781151769862,5,2006,8,4,-0.4195577735551465
45,0,3,0.09744517902285259,-0.28651755619189234,1,0,1,3,3,4,0,16,3,3,4,2,9,5,1.1172352761668802,0.9755751289855163,3,1,1,4,2,2,5,3,1,6,0.027109320050117642,1.5837704675429558,2,4,1,4,1.5250748370085032,-0.7951632272572445,-0.12024172373467248,0.45028769113571926,1,0,2,0,2,1,4,6,7,1,4,2,2,0.4820057451562002,3,3,2,0.812121623292638,-0.11633928614822256,-0.2702083542015609,0,0,-0.08768781151769862,2,2010,8,4,1.6320768049157952
46,8,3,-0.27770887733693245,0.23102901101566883,1,0,2,3,3,1,0,11,3,3,0,0,7,5,1.0509937888999856,0.8786680880058696,1,1,3,3,2,2,5,3,1,6,1.990078870614717,0.8586619668030254,2,4,1,4,0.9195714670304268,0.6508278126631065,-0.12024172373467248,1.206045739036171,1,0,1,1,1,1,3,6,7,1,5,2,2,0.9218096695572461,3,3,2,0.5886505574134956,-0.11633928614822256,3.282105576972537,0,0,-0.08768781151769862,8,2009,8,0,0.9091420788701136
47,4,1,0.7611792787363184,0.058045785802607136,1,0,1,3,3,4,0,21,3,3,0,2,8,5,1.1503560198003273,1.0240286494753397,1,1,3,3,2,2,4,3,3,6,-0.9203798931832978,1.3648697880742975,2,4,1,4,1.2766631980431384,-0.7951632272572445,-0.12024172373467248,0.2675351153210005,0,0,2,0,3,1,3,7,7,0,0,2,3,1.6516970334568541,3,3,2,-0.7521758378613592,-0.11633928614822256,-0.2702083542015609,0,0,-0.08768781151769862,7,2007,8,4,1.011643760881329
48,3,4,-0.7105789423674536,-0.6074284989104459,1,0,1,3,3,4,0,17,3,3,1,5,4,5,-1.6980279326761358,1.1209356904549863,1,1,3,2,2,0,3,3,1,1,-0.9730181828073765,-0.7329283901670104,2,3,1,4,-1.1039483420416059,0.8456126595620445,-0.12024172373467248,-0.12081410828527696,0,0,2,0,2,3,2,8,7,0,0,0,0,-2.2129629830885067,0,0,0,-0.7521758378613592,-0.11633928614822256,-0.2702083542015609,0,0,-0.08768781151769862,6,2009,6,5,-0.9739372635048538
49,4,3,0.24173520069969298,-0.2780989056021489,1,0,1,3,3,4,0,19,3,3,0,2,5,7,-0.1744737255375625,-0.9141121701175944,1,1,3,2,2,1,3,3,1,4,0.7004407748247903,-0.2335612151291338,2,4,1,4,-0.5372592906518678,-0.7951632272572445,-0.12024172373467248,-1.066939422659394,1,0,1,0,3,1,2,6,7,0,0,1,1,-0.4069596339522969,3,3,2,-0.7521758378613592,-0.11633928614822256,-0.2702083542015609,3,0,-0.08768781151769862,1,2007,8,4,-0.6814382233485567
